PlayerName,PlayerCode
Angel Sanchez,sanca005
Anibal Sanchez,sanca004
Anthony Bass,bassa001
Anthony Gose,gosea001
Anthony Lerew,lerea001
Anthony Ortega,ortea001
Anthony Recker,recka001
Anthony Reyes,reyea002
Anthony Rizzo,rizza001
Anthony Swarzak,swara001
Anthony Vasquez,vasqa001
Antonio Bastardo,basta001
Antonio Perez,perea001
Aramis Ramirez,ramia001
Argenis Diaz,diaza002
Argenis Reyes,reyea003
Armando Gabino,gabia001
Armando Galarraga,galaa002
Asdrubal Cabrera,cabra002
Aubrey Huff,huffa001
Augie Ojeda,ojeda001
Austin Jackson,jacka001
Austin Kearns,keara001
Austin Romine,romia002
Avisail Garcia,garca003
B.J. Rosenberg,roseb003
B.J. Upton,uptob001
Barbaro Canizares,canib001
Barry Bonds,bondb001
Barry Enright,enrib001
Barry Zito,zitob001
Bartolo Colon,colob001
Beltran Perez,pereb001
Ben Broussard,broub001
Ben Francisco,franb001
Ben Hendrickson,hendb001
Ben Johnson,johnb003
Ben Revere,reveb001
Ben Sheets,sheeb001
Ben Zobrist,zobrb001
Bengie Molina,molib001
Bernie Castro,castb002
Bernie Williams,willb002
Bill Hall,hallb001
Bill Mueller,muelb001
Billy Buckner,buckb002
Billy Butler,butlb003
Billy Traber,trabb001
Blake Beavan,beavb001
Blake Davis,davib005
Blake DeWitt,dewib001
Blake Hawksworth,hawkb001
Blake Lalli,lallb001
Blake Tekotte,tekob001
Bobby Abreu,abreb001
Bobby Cramer,cramb001
Bobby Crosby,crosb002
Bobby Keppel,keppb001
Bobby Kielty,kielb001
Bobby Livingston,livib001
Bobby Parnell,parnb001
Bobby Scales,scalb001
Bobby Wilson,wilsb002
Boof Bonser,bonsb001
Brad Ausmus,ausmb001
Brad Bergesen,bergb002
Brad Davis,davib004
Brad Eldred,eldrb001
Brad Emaus,emaub001
Brad Halsey,halsb001
Brad Hand,handb001
Brad Harman,harmb001
Brad Hawpe,hawpb001
Brad Hennessey,hennb001
Brad Kilby,kilbb001
Brad Lincoln,lincb001
Brad Mills,millb001
Brad Nelson,nelsb002
Brad Peacock,peacb001
Brad Penny,pennb002
Brad Radke,radkb001
Brad Snyder,snydb002
Brad Thomas,thomb001
Brad Thompson,thomb002
Brad Wilkerson,wilkb002
Braden Looper,loopb001
Bradley Hawpe,hawpb001
Brady Clark,clarb003
Brandon Allen,alleb001
Brandon Backe,backb001
Brandon Barnes,barnb002
Brandon Beachy,beacb001
Brandon Belt,beltb001
Brandon Boggs,boggb001
Brandon Claussen,claub001
Brandon Crawford,crawb001
Brandon Dickson,dickb001
Brandon Duckworth,duckb001
Brandon Fahey,faheb001
Brandon Guyer,guyeb001
Brandon Harper,harpb002
Brandon Hicks,hickb002
Brandon Inge,ingeb001
Brandon Jones,joneb005
Brandon Knight,knigb001
Brandon Laird,lairb001
Brandon McCarthy,mccab001
Brandon Morrow,morrb001
Brandon Moss,mossb001
Brandon Phillips,philb001
Brandon Snyder,snydb003
Brandon Watson,watsb002
Brandon Webb,webbb001
Brandon Wood,woodb003
Brayan Pena,penab002
Brendan Harris,harrb001
Brendan Ryan,ryanb002
Brennan Boesch,boesb001
Brent Clevlen,clevb001
Brent Lillibridge,lillb001
Brent Morel,moreb001
Brett Anderson,andeb004
Brett Carroll,carrb001
Brett Cecil,cecib001
Brett Gardner,gardb001
Brett Hayes,hayeb001
Brett Jackson,jackb002
Brett Lawrie,lawrb002
Brett Myers,myerb001
Brett Pill,pillb001
Brett Tomko,tomkb001
Brett Wallace,wallb001
Brian Anderson,andeb003
Brian Bannister,bannb001
Brian Barden,bardb001
Brian Barton,bartb001
Brian Bass,bassb001
Brian Bixler,bixlb001
Brian Bocock,bocob001
Brian Bogusevic,bogub001
Brian Bruney,brunb001
Brian Burres,burrb001
Brian Buscher,buscb001
Brian Dinkelman,dinkb001
Brian Dozier,dozib001
Brian Duensing,duenb001
Brian Giles,gileb002
Brian Gordon,gordb001
Brian Horwitz,horwb001
Brian Jordan,jordb001
Brian Lawrence,lawrb001
Brian Matusz,matub001
Brian McCann,mccab002
Brian Moehler,moehb001
Brian Myrow,myrob001
Brian Roberts,robeb003
Brian Sanches,sancb001
Brian Schneider,schnb001
Brian Slocum,slocb001
Brian Stokes,stokb001
Brian Tallet,tallb001
Brock Holt,holtb002
Bronson Arroyo,arrob001
Bronson Sardinha,sardb001
Brooks Conrad,conrb001
Brooks Raley,raleb001
Bruce Chen,chenb001
Bryan Anderson,andeb005
Bryan Augenstein,augeb001
Bryan Bullington,bullb001
Bryan Holaday,holab001
Bryan LaHair,lahab001
Bryan Petersen,peteb001
Bryce Harper,harpb003
Bubba Crosby,crosb001
Buck Coats,coatb001
Bud Norris,norrb001
Buddy Carlyle,carlb001
Burke Badenhop,badeb001
Buster Posey,poseb001
Byung-Hyun,kim-b001
Byung-Hyun Kim,kim-b001
C.C. Sabathia,sabac001
C.J. Wilson,wilsc004
Callix Crabbe,crabc001
Cameron Maybin,maybc001
Carl Crawford,crawc002
Carl Everett,everc001
Carl Pavano,pavac001
Carlos Beltran,beltc001
Carlos Carrasco,carrc003
Carlos Corporan,corpc001
Carlos Delgado,delgc001
Carlos Gomez,gomec002
Carlos Gonzalez,gonzc001
Carlos Guillen,guilc001
Carlos Lee,lee-c001
Carlos Maldonado,maldc003
Carlos Marmol,marmc001
Carlos Monasterios,monac001
Carlos Peguero,peguc001
Carlos Pena,penac001
Carlos Quentin,quenc001
Carlos Ruiz,ruizc001
Carlos Santana,santc002
Carlos Silva,silvc001
Carlos Torres,torrc001
Carlos Triunfel,triuc001
Carlos Villanueva,villc001
Carlos Zambrano,zambc001
Casey Blake,blakc001
Casey Coleman,colec001
Casey Crosby,crosc001
Casey Fossum,fossc001
Casey Janssen,jansc001
Casey Kelly,kellc001
Casey Kotchman,kotcc001
Casey McGehee,mcgec001
Casper Wells,wellc001
Cesar Carrillo,carrc002
Cesar Izturis,iztuc001
Cesar Jimenez,jimec002
Cesar Ramos,ramoc001
Cesar Valdez,valdc003
Cha Seung Baek,baekc001
Chad Billingsley,billc001
Chad Durbin,durbc001
Chad Gaudin,gaudc001
Chad Huffman,huffc001
Chad Jenkins,jenkc001
Chad Moeller,moelc001
Chad Mottola,mottc001
Chad Reineke,reinc001
Chad Santos,santc001
Chad Tracy,tracc001
Chan Ho Park,parkc002
Charlie Blackmon,blacc001
Charlie Culberson,culbc001
Charlie Furbush,furbc001
Charlie Haeger,haegc001
Charlie Morton,mortc002
Charlie Zink,zinkc001
Chase d'Arnaud,darnc001
Chase Headley,headc001
Chase Utley,utlec001
Chase Wright,wrigc001
Che-Hsuan Lin,lin-c001
Chien-Ming Wang,wangc001
Chin-Lung Hu,hu--c001
Chip Ambres,ambrc001
Chipper Jones,jonec004
Chone Figgins,figgc001
Choo Freeman,freec001
Chris Aguila,aguic001
Chris Archer,archc001
Chris Barnwell,barnc001
Chris Burke,burkc001
Chris Capuano,capuc001
Chris Carpenter,carpc002
Chris Carter,cartc001
Chris Carter,cartc002
Chris Coghlan,coghc001
Chris Coste,costc001
Chris Davis,davic003
Chris Denorfia,denoc001
Chris Dickerson,dickc001
Chris Duffy,duffc001
Chris Duncan,duncc002
Chris Getz,getzc001
Chris Gimenez,gimec001
Chris Gomez,gomec001
Chris Hatcher,hatcc002
Chris Heintz,heinc001
Chris Heisey,heisc001
Chris Herrmann,herrc001
Chris Iannetta,iannc001
Chris Jakubauskas,jakuc001
Chris Johnson,johnc003
Chris Lambert,lambc001
Chris Marrero,marrc001
Chris Michalak,michc001
Chris Narveson,narvc001
Chris Nelson,nelsc001
Chris Parmelee,parmc001
Chris Richard,richc001
Chris Roberson,robec001
Chris Rusin,rusic001
Chris Sale,salec001
Chris Sampson,sampc001
Chris Schwinden,schwc001
Chris Seddon,seddc001
Chris Shelton,shelc001
Chris Snelling,snelc001
Chris Snyder,snydc002
Chris Stewart,stewc001
Chris Tillman,tillc001
Chris Valaika,valac001
Chris Volstad,volsc001
Chris Waters,watec001
Chris Widger,widgc001
Chris Woodward,woodc001
Chris Young,younc003
Chris Young,younc004
Christian Friedrich,friec001
Chuck James,jamec002
Claudio Vargas,vargc001
Clay Buchholz,buchc001
Clay Hensley,hensc002
Clayton Kershaw,kersc001
Clayton Mortensen,mortc003
Clayton Richard,richc002
Clete Thomas,thomc002
Cliff Floyd,floyc001
Cliff Lee,lee-c003
Cliff Pennington,pennc001
Clint Barmes,barmc001
Clint Sammons,sammc001
Coco Crisp,crisc001
Cody Ransom,ransc001
Cody Ross,rossc001
Colby Lewis,lewic001
Colby Rasmus,rasmc001
Cole De Vries,devrc001
Cole Garner,garnc001
Cole Gillespie,gillc002
Cole Hamels,hamec001
Colin Balester,balec001
Colin Curtis,curtc002
Collin Balester,balec001
Collin Cowgill,cowgc001
Collin McHugh,mchuc001
Colt Morton,mortc001
Conor Gillaspie,gillc001
Conor Jackson,jackc002
Cord Phelps,phelc001
Corey Brown,browc003
Corey Hart,hartc001
Corey Kluber,klubc001
Corey Koskie,koskc001
Corey Patterson,pattc001
Corky Miller,millc001
Cory Aldridge,aldrc001
Cory Lidle,lidlc001
Cory Luebke,luebc001
Cory Sullivan,sullc001
Craig Biggio,biggc001
Craig Counsell,counc001
Craig Gentry,gentc001
Craig Monroe,monrc001
Craig Stammen,stamc001
Craig Stansberry,stanc001
Craig Tatum,tatuc001
Craig Wilson,wilsc003
Cristian Guzman,guzmc001
Curt Schilling,schic002
Curtis Granderson,granc001
Curtis Pride,pridc001
Curtis Thigpen,thigc001
D.J. Carrasco,carrd001
D'Angelo Jimenez,jimed001
Daisuke Matsuzaka,matsd001
Dallas Braden,bradd002
Dallas Keuchel,keucd001
Dallas McPherson,mcphd001
Damian Jackson,jackd003
Damian Miller,milld002
Damion Easley,easld001
Damon Hollins,holld002
Dan Giese,giesd001
Dan Haren,hared001
Dan Johnson,johnd004
Dan Meyer,meyed002
Dan Murphy,murpd006
Dan Ortmeier,ortmd001
Dan Runzler,runzd001
Dan Straily,strad003
Dan Uggla,uggld001
Dana Eveland,eveld001
Dane Eveland,eveld001
Dane Sardinha,sardd001
Daniel Bard,bardd001
Daniel Barone,barod001
Daniel Cabrera,cabrd001
Daniel Descalso,descd001
Daniel Haren,hared001
Daniel Hudson,hudsd001
Daniel McCutchen,mccud001
Daniel Murphy,murpd006
Daniel Nava,navad002
Daniel Ortmeier,ortmd001
Danny Ardoin,ardod001
Danny Duffy,duffd001
Danny Espinosa,espid001
Danny Putnam,putnd001
Danny Richar,richd001
Danny Sandoval,sandd003
Danny Valencia,valed001
Danny Worth,wortd001
Daric Barton,bartd001
Darin Erstad,erstd001
Darin Mastroianni,mastd002
Darin Ruf,ruf-d001
Darnell McDonald,mcdod002
Darrell Rasner,rasnd001
Darren Oliver,olivd001
Darwin Barney,barnd001
Daryl Thompson,thomd003
Daryle Ward,wardd002
Dave Bush,bushd001
Dave Roberts,robed001
Dave Sappelt,sappd001
Dave Williams,willd002
David Bell,belld002
David Cooper,coopd002
David DeJesus,dejed001
David Dellucci,delld001
David Eckstein,ecksd001
David Freese,freed001
David Hernandez,hernd002
David Huff,huffd001
David Lough,lougd001
David Murphy,murpd005
David Newhan,newhd001
David Ortiz,ortid001
David Pauley,pauld001
David Phelps,pheld001
David Price,pricd001
David Purcey,purcd001
David Ross,rossd001
David Wells,welld001
David Wright,wrigd002
Dayan Viciedo,vicid001
Dee Gordon,gordd002
Dellin Betances,betad001
Delmon Young,yound003
Delwyn Young,yound004
Denard Span,spand001
Denis Phipps,phipd001
Dennis Sarfate,sarfd001
Denny Bautista,bautd002
Derek Holland,holld003
Derek Jeter,jeted001
Derek Lowe,lowed001
Derek Norris,norrd001
Derrek Lee,lee-d002
Desi Relaford,relad001
Desmond Jennings,jennd002
Devern Hansack,hansd002
Devin Mesoraco,mesod001
Dewayne Wise,wised001
Dewon Brazelton,brazd001
Dexter Fowler,fowld001
Didi Gregorius,gregd001
Dillon Gee,gee-d001
Dioner Navarro,navad001
Diory Hernandez,hernd001
Dirk Hayhurst,hayhd001
DJ LeMahieu,lemad001
Dmitri Young,yound001
Domonic Brown,browd004
Don Kelly,kelld001
Donnie Murphy,murpd004
Donny Lucy,lucyd001
Donovan Solano,solad001
Dontrelle Willis,willd003
Doug Bernier,bernd001
Doug Davis,david002
Doug Fister,fistd001
Doug Mathis,mathd001
Doug Mientkiewicz,miend001
Doug Mirabelli,mirad001
Doug Waechter,waecd001
Douglas Waechter,waecd001
Drew Anderson,anded002
Drew Butera,buted001
Drew Hutchison,hutcd001
Drew Macias,macid001
Drew Meyer,meyed003
Drew Pomeranz,pomed001
Drew Smyly,smyld001
Drew Stubbs,stubd001
Drew Sutton,suttd002
Duane Below,belod001
Dustan Mohr,mohrd001
Dustin Ackley,ackld001
Dustin McGowan,mcgod001
Dustin Moseley,mosed001
Dustin Nippert,nippd001
Dustin Pedroia,pedrd001
Dusty Brown,browd003
Dusty Hughes,hughd001
Dusty Ryan,ryand001
Dylan Axelrod,axeld001
Ed Rogers,rogee001
Eddie Bonine,bonie002
Eddy Rodriguez,rodre003
Edgar Gonzalez,gonze001
Edgar Gonzalez,gonze003
Edgar Renteria,rente001
Edgardo Alfonzo,alfoe001
Edinson Volquez,volqe001
Eduardo Escobar,escoe001
Eduardo Nunez,nunee002
Eduardo Perez,peree001
Edwar Cabrera,cabre002
Edward Mujica,mujie001
Edwin Bellorin,belle002
Edwin Encarnacion,encae001
Edwin Jackson,jacke001
Edwin Maysonet,mayse001
Efren Navarro,navae001
Eider Torres,torre001
Eli Marrero,marre001
Eli Whiteside,white004
Elian Herrera,herre001
Eliezer Alfonzo,alfoe002
Elih Villanueva,ville002
Elijah Dukes,dukee001
Elizardo Ramirez,ramie002
Elliot Johnson,johne002
Elmer Dessens,desse001
Elvis Andrus,andre001
Emil Brown,browe001
Emilio Bonifacio,bonie001
Emmanuel Burriss,burre001
Endy Chavez,chave002
Enrique Gonzalez,gonze002
Erasmo Ramirez,ramie004
Eric Bruntlett,brune001
Eric Byrnes,byrne001
Eric Chavez,chave001
Eric Fryer,fryee001
Eric Hacker,hacke001
Eric Hinske,hinse001
Eric Hosmer,hosme001
Eric Hurley,hurle001
Eric Milton,milte001
Eric Munson,munse001
Eric Patterson,patte001
Eric Reed,reede001
Eric Sogard,sogae001
Eric Stults,stule002
Eric Surkamp,surke001
Eric Thames,thame001
Eric Young,youne001
Eric Young,youne003
Erick Almonte,almoe001
Erick Aybar,aybae001
Erik Bedard,bedae001
Erik Komatsu,komae001
Erik Kratz,krate001
Ervin Santana,sante001
Esmerling Vasquez,vasqe001
Esmil Rogers,rogee002
Esteban German,germe001
Esteban Loaiza,loaie001
Eude Brito,brite001
Eugenio Velez,velee001
Eulogio de la Cruz,delae001
Evan Longoria,longe001
Everett Teaford,teafe001
Everth Cabrera,cabre001
Ezequiel Carrera,carre001
Fabio Castro,castf002
Fausto Carmona,carmf001
Felipe Lopez,lopef001
Felipe Paulino,paulf001
Felix Doubront,doubf001
Felix Hernandez,hernf002
Felix Pie,pie-f001
Fernando Abad,abadf001
Fernando Cortez,cortf001
Fernando Martinez,martf002
Fernando Nieve,nievf001
Fernando Perez,peref001
Fernando Tatis,tatif001
Francisco Cervelli,cervf001
Francisco Cruceta,crucf001
Francisco Liriano,lirif001
Francisco Peguero,peguf001
Francisco Rosario,rosaf001
Frank Catalanotto,cataf001
Frank Thomas,thomf001
Franklin Gutierrez,gutif001
Franklin Morales,moraf001
Fred Lewis,lewif001
Freddie Bynum,bynuf001
Freddie Freeman,freef001
Freddy Galvis,galvf001
Freddy Garcia,garcf002
Freddy Guzman,guzmf001
Freddy Sanchez,sancf001
Freddy Sandoval,sandf001
Gabe Gross,grosg002
Gabe Kapler,kaplg001
Gaby Sanchez,sancg001
Garret Anderson,andeg001
Garrett Anderson,andeg001
Garrett Atkins,atkig001
Garrett Jones,joneg002
Garrett Mock,mockg001
Garrett Olson,olsog003
Garrett Richards,richg002
Gary Bennett,benng001
Gary Matthews,mattg002
Gary Sheffield,shefg001
Gavin Floyd,floyg001
Geoff Blum,blumg001
Geoff Jenkins,jenkg001
George Kottaras,kottg001
George Lombard,lombg001
Geovany Soto,sotog001
Gerald Laird,lairg001
Gerardo Parra,parrg001
German Duran,durag001
Geronimo Gil,gil-g001
Giancarlo Stanton,stanm004
Gil Meche,mechg001
Gil Velazquez,velag002
Gio Gonzalez,gonzg003
Glen Perkins,perkg001
Glendon Rusch,ruscg001
Gordon Beckham,beckg001
Gorkys Hernandez,herng001
Grady Sizemore,sizeg001
Graham Godfrey,godfg001
Graham Taylor,taylg001
Greg Dobbs,dobbg001
Greg Golson,golsg001
Greg Halman,halmg001
Greg Maddux,maddg002
Greg Norton,nortg001
Greg Reynolds,reyng001
Greg Smith,smitg002
Gregg Zaun,zaung001
Gregor Blanco,blang001
Gregorio Petit,petig001
Guillermo Moscoso,moscg001
Guillermo Quiroz,quirg001
Guillermo Rodriguez,rodrg001
Gustavo Chacin,chacg001
Gustavo Molina,molig002
Hank Blalock,blalh001
Hank Conger,congh001
Hanley Ramirez,ramih003
Hayden Penn,pennh001
Hector Carrasco,carrh001
Hector Gimenez,gimeh001
Hector Gomez,gomeh001
Hector Luna,lunah001
Hector Noesi,noesh001
Hector Sanchez,sanch002
Hector Santiago,santh001
Henderson Alvarez,alvah001
Henry Blanco,blanh001
Henry Mateo,mateh001
Henry Rodriguez,rodrh003
Henry Sosa,sosah001
Hernan Iribarren,iribh001
Hideki Matsui,matsh001
Hiram Bocachica,bocah001
Hiroki Kuroda,kuroh001
Hisanori Takahashi,takah001
Hisashi Iwakuma,iwakh001
Homer Bailey,bailh001
Hong-Chih Kuo,kuo-h001
Horacio Ramirez,ramih002
Howard Kendrick,kendh001
Howie Clark,clarh001
Howie Kendrick,kendh001
Humberto Cota,cotah001
Humberto Quintero,quinh001
Hunter Pence,pench001
Ian Desmond,desmi001
Ian Kennedy,kenni001
Ian Kinsler,kinsi001
Ian Snell,sneli001
Ian Stewart,stewi001
Ichiro Suzuki,suzui001
Ike Davis,davii001
Irving Falu,falui001
Ivan De Jesus,dejei002
Ivan Nova,novai001
Ivan Ochoa,ochoi001
Ivan Rodriguez,rodri001
J. A. Happ,happj001
J. B. Shuck,shucj001
J. C. Boscan,boscj001
J. D. Closser,closj001
J. D. Drew,drewj001
J. D. Durbin,durbj001
J. D. Martin,martj005
J. D. Martinez,martj006
J. J. Furmaniak,furmj001
J. J. Hardy,hardj003
J. P. Arencibia,arenj001
J. P. Howell,howej003
J. R. House,housj001
J. R. Towles,towlj001
J. T. Snow,snowj001
Jack Cassel,cassj001
Jack Cust,custj001
Jack Hannahan,hannj001
Jack Wilson,wilsj002
Jacob Turner,turnj002
Jacoby Ellsbury,ellsj001
Jacque Jones,jonej003
Jae Kuk Ryu,ryu-j001
Jae Seo,seo-j001
Jai Miller,millj004
Jaime Garcia,garcj004
Jair Jurrjens,jurrj001
Jake Arrieta,arrij001
Jake Elmore,elmoj001
Jake Fox,fox-j001
Jake Odorizzi,odorj001
Jake Peavy,peavj001
Jake Westbrook,westj001
Jake Woods,woodj002
James Darnell,darnj001
James Loney,lonej001
James McDonald,mcdoj004
James Parr,parrj004
James Russell,russj003
James Shields,shiej002
Jamey Carroll,carrj001
Jamey Wright,wrigj001
Jamie Burke,burkj003
Jamie D'Antona,dantj001
Jamie Hoffmann,hoffj001
Jamie Moyer,moyej001
Jaret Wright,wrigj002
Jarrett Hoffpauir,hoffj002
Jarrod Dyson,dysoj001
Jarrod Parker,parkj001
Jarrod Saltalamacchia,saltj001
Jarrod Washburn,washj001
Jason Bartlett,bartj001
Jason Bay,bay-j001
Jason Bergmann,bergj001
Jason Berken,berkj001
Jason Botts,bottj001
Jason Bourgeois,bourj001
Jason Castro,castj006
Jason Davis,davij005
Jason Donald,donaj002
Jason Ellison,ellij001
Jason Giambi,giamj001
Jason Hammel,hammj002
Jason Heyward,heywj001
Jason Hirsh,hirsj001
Jason Jaramillo,jaraj001
Jason Jennings,jennj001
Jason Johnson,johnj007
Jason Kendall,kendj001
Jason Kipnis,kipnj001
Jason Kubel,kubej002
Jason Lane,lanej001
Jason LaRue,laruj001
Jason Marquis,marqj001
Jason Michaels,michj001
Jason Perry,perrj001
Jason Phillips,philj003
Jason Pridie,pridj001
Jason Repko,repkj001
Jason Schmidt,schmj001
Jason Shiell,shiej001
Jason Simontacchi,simoj001
Jason Smith,smitj001
Jason Stanford,stanj002
Jason Tyner,tynej001
Jason Vargas,vargj001
Jason Varitek,varij001
Jason Windsor,windj001
Jason Wood,woodj001
Javier Valentin,valej004
Javier Vazquez,vazqj001
Javy Lopez,lopej001
Jay Bruce,brucj001
Jay Buente,buenj001
Jay Gibbons,gibbj002
Jay Payton,paytj001
Jayson Nix,nix-j001
Jayson Werth,wertj001
Jean Segura,seguj002
Jeanmar Gomez,gomej002
Jed Lowrie,lowrj001
Jeff Bailey,bailj001
Jeff Baisley,baisj001
Jeff Baker,bakej001
Jeff Bennett,bennj002
Jeff Bianchi,bianj001
Jeff Cirillo,cirij001
Jeff Clement,clemj001
Jeff Conine,conij001
Jeff DaVanon,davaj001
Jeff Fassero,fassj001
Jeff Francis,franj003
Jeff Francoeur,franj004
Jeff Frazier,frazj001
Jeff Karstens,karsj001
Jeff Kent,kentj001
Jeff Keppinger,keppj001
Jeff Larish,larij001
Jeff Locke,lockj001
Jeff Manship,mansj001
Jeff Mathis,mathj001
Jeff Niemann,niemj001
Jeff Salazar,salaj002
Jeff Samardzija,samaj001
Jeff Suppan,suppj001
Jeff Weaver,weavj002
Jeffrey DaVanon,davaj001
Jeffrey Fiorentino,fiorj001
Jemile Weeks,weekj001
Jenrry Mejia,mejij001
Jerad Head,headj001
Jered Weaver,weavj003
Jeremi Gonzalez,gonzj003
Jeremy Affeldt,affej001
Jeremy Bonderman,bondj001
Jeremy Brown,browj005
Jeremy Guthrie,guthj001
Jeremy Hefner,hefnj001
Jeremy Hellickson,hellj001
Jeremy Hermida,hermj001
Jeremy Mejia,mejij001
Jeremy Moore,moorj001
Jeremy Reed,reedj004
Jeremy Sowers,sowej001
Jermaine Dye,dye-j001
Jerome Williams,willj003
Jeromy Burnitz,burnj001
Jerry Hairston,hairj002
Jerry Owens,owenj002
Jerry Sands,sandj002
Jesse Chavez,chavj001
Jesse Litsch,litsj001
Jesus Feliciano,felij002
Jesus Flores,florj002
Jesus Guzman,guzmj005
Jesus Montero,montj003
Jeurys Familia,famij001
Jhonatan Solano,solaj002
Jhonny Peralta,peraj001
Jhoulys Chacin,chacj001
Jim Edmonds,edmoj001
Jim Johnson,johnj010
Jim Thome,thomj002
Jimmy Barthmaier,bartj002
Jimmy Gobble,gobbj001
Jimmy Paredes,parej002
Jimmy Rollins,rollj001
Jo-Jo Reyes,reyej003
Joaquin Arias,ariaj001
Joba Chamberlain,chamj002
Jody Gerut,geruj001
Joe Benson,bensj001
Joe Blanton,blanj001
Joe Borchard,borcj001
Joe Crede,credj001
Joe Dillon,dillj001
Joe Inglett,inglj001
Joe Kelly,kellj001
Joe Kennedy,kennj001
Joe Koshansky,koshj001
Joe Mahoney,mahoj001
Joe Martinez,martj004
Joe Mather,mathj002
Joe Mauer,mauej001
Joe Mays,maysj001
Joe Randa,randj002
Joe Saunders,saunj001
Joe Thurston,thurj001
Joe Wieland,wielj001
Joel Carreno,carrj002
Joel Guzman,guzmj004
Joel Hanrahan,hanrj001
Joel Pineiro,pinej001
Joey Gathright,gathj001
Joey Votto,vottj001
Johan Santana,santj003
John Baker,bakej002
John Bale,balej001
John Bowker,bowkj001
John Buck,buckj001
John Danks,dankj001
John Ely,ely-j001
John Ennis,ennij001
John Gall,gallj001
John Halama,halaj001
John Hattig,hattj001
John Hester,hestj001
John Jaso,jasoj001
John Koronka,koroj001
John Lackey,lackj001
John Lannan,lannj001
John Lindsey,lindj003
John Mabry,mabrj001
John Maine,mainj001
John Mayberry,maybj001
John McDonald,mcdoj003
John Parrish,parrj003
John Patterson,pattj004
John Rheinecker,rheij001
John Rodriguez,rodrj002
John Smoltz,smolj001
John Thomson,thomj005
John Van Benschoten,vanbj001
John Wasdin,wasdj001
John-Ford Griffin,grifj002
Johnny Cueto,cuetj001
Johnny Damon,damoj001
Johnny Estrada,estrj001
Johnny Giavotella,giavj001
Jolbert Cabrera,cabrj002
Jon Garland,garlj001
Jon Jay,jay-j001
Jon Knott,knotj001
Jon Leicester,leicj001
Jon Lester,lestj001
Jon Lieber,liebj001
Jonathan Herrera,herrj002
Jonathan Lucroy,lucrj001
Jonathan Sanchez,sancj002
Jonathan Van Every,vanej001
Jonathon Niese,niesj001
